player_id,cricsheet_id,name,profile_status,profile_error,profile_scraped_at,deep_status,deep_error,deep_scraped_at
1175461,c0e59e39,Ankit Chaudhary,pending,,,pending,,
1499277,c0e88e7d,L Leemhuis,pending,,,pending,,
1156476,c0ea11cc,S Udugalage,pending,,,pending,,
29667,c0ef75bc,LP Jai,pending,,,pending,,
1476384,c0f5447e,L Wahmowe,pending,,,pending,,
54778,c0fb3bf2,SP de Alwis,pending,,,pending,,
1273279,c0fca5eb,O Gholami,pending,,,pending,,
594021,c1006a24,Ajay Verma,pending,,,pending,,
338575,c1030452,GUDS Kudahetti,pending,,,pending,,
404298,c104d82b,LA Ngwenya,pending,,,pending,,
1301605,c1051042,Komalpreet Grewal,pending,,,pending,,
1093672,c10747c3,Imran Arif,pending,,,pending,,
1179855,c1077ba3,Pratis GC,pending,,,pending,,
1064532,c1089ccb,M Perera,pending,,,pending,,
527897,c109497d,A Bengeri,pending,,,pending,,
1345193,c10a581f,CR Richards,pending,,,pending,,
1159822,c10a99ec,MD Rahmatullah,pending,,,pending,,
1301896,c10c625d,PA Dahiya,pending,,,pending,,
1437878,c10f9b62,D Kappagoda,pending,,,pending,,
1048907,c10fd8f9,Aman Desai,pending,,,pending,,
1182769,c110235a,RP Johnston,pending,,,pending,,
779337,c11e3209,A Umetani,pending,,,pending,,
1236058,c122fe73,Asad Ali Rehemtulla,pending,,,pending,,
1484697,c1287d77,IG James,pending,,,pending,,
1265804,c13310a4,Rahmat Ali,pending,,,pending,,
425944,c133943b,MS Akhil,pending,,,pending,,
303412,c13b2833,R Flannigan,pending,,,pending,,
1168651,c13e34f4,Haider Ali,pending,,,pending,,
1282477,c13e8df5,T Mathew,pending,,,pending,,
661395,c1436ec9,NC St Prix,pending,,,pending,,
27818,c144a09d,A Chatterjee,pending,,,pending,,
433356,c14721ab,Sayan Mondal,pending,,,pending,,
1419404,c147335d,RG Dalley,pending,,,pending,,
13312,c149b9ca,NJ Ferraby,pending,,,pending,,
1394091,c14ba87c,K Brock-Nielsen,pending,,,pending,,
1143140,c156cc1f,I Danladi,pending,,,pending,,
1122965,c15706c8,VV Gite,pending,,,pending,,
28671,c15e2193,FY Fazal,pending,,,pending,,
346602,c15e7ba4,E Dusingizimana,pending,,,pending,,
1429991,c15f0546,P Chugani,pending,,,pending,,
1263698,c15fb753,W Luxton,pending,,,pending,,
932573,c160db98,C Smith,pending,,,pending,,
21447,c163432a,TC Smith,pending,,,pending,,
917209,c166ca1c,Shashi Shekhar,pending,,,pending,,
913881,c1685e0e,Saud Syed Iqbal Ahmad,pending,,,pending,,
10870,c16b33fa,JP Crawley,pending,,,pending,,
6647,c16d209b,S Morris,pending,,,pending,,
14054,c16d2e28,SJ Harmison,pending,,,pending,,
297628,c16d4035,SW Billings,pending,,,pending,,
9494,c16d471c,HG Baldwin,pending,,,pending,,
1403175,c16f70b4,L Jhon,pending,,,pending,,
272027,c17a101b,AK Ghose,pending,,,pending,,
520289,c17dcc29,F Khaliq,pending,,,pending,,
784381,c1805d15,Damitha Silva,pending,,,pending,,
35928,c18496e1,Bipul Sharma,pending,,,pending,,
520142,c18cecbe,J Barker,pending,,,pending,,
1290605,c1974b74,S Aryal,pending,,,pending,,
