player_id,cricsheet_id,name,machine,profile_status,profile_error,profile_scraped_at,deep_status,deep_error,deep_scraped_at
376169,0164b064,MG Neser,1,pending,,,pending,,
1286507,01679383,DB Loic,1,pending,,,pending,,
785673,01698fee,Z Pongolo,1,pending,,,pending,,
230860,016e5101,M Shezi,1,pending,,,pending,,
1116782,016f6267,N Sitompul,1,pending,,,pending,,
1469023,01733928,MFL Tafea,1,pending,,,pending,,
36288,01746639,GA Bartlett,1,pending,,,pending,,
960359,0174b455,Himanshu Dutta,1,pending,,,pending,,
1119464,017cadb2,R Musamali,1,pending,,,pending,,
554398,017e2f0d,Amogh Desai,1,pending,,,pending,,
446860,017faef2,Z Groenewald,1,pending,,,pending,,
1272395,01815edc,S Kanankege,1,pending,,,pending,,
28114,0184dc35,R Dravid,1,pending,,,pending,,
1314052,018f6488,M Gouws,1,pending,,,pending,,
1339088,019ca34a,Shawaiz Irfan,1,pending,,,pending,,
1513989,019d7ef5,Mohamed Turay,1,pending,,,pending,,
520256,019e740a,SE Aquilina,1,pending,,,pending,,
1286496,019e7a95,GO Sopinho,1,pending,,,pending,,
26325,019f2ef8,KBJ Azad,1,pending,,,pending,,
511247,01a95383,MD Taylor,1,pending,,,pending,,
870759,01ab4d37,Ahmad Nasir,1,pending,,,pending,,
1479960,01abe2db,IK Cheema,1,pending,,,pending,,
1323116,01ac7f7c,NKDP Putri,1,pending,,,pending,,
1136213,01ada0ed,A Nagwaswalla,1,pending,,,pending,,
1422906,01b0d0a4,J Proctor,1,pending,,,pending,,
455469,01b45044,Mohammad Amin,1,pending,,,pending,,
1156444,01c05b6c,RJ Hatchman,1,pending,,,pending,,
383879,01c1b96c,C Aweko,1,pending,,,pending,,
5239,01c72967,DW Fleming,1,pending,,,pending,,
52424,01cb2e52,EA Martindale,1,pending,,,pending,,
1476836,01cc1cb0,NAJ Robinson,1,pending,,,pending,,
307233,01d5f279,JA DeSilva,1,pending,,,pending,,
821755,01dbf7cf,Sanjit Saha,1,pending,,,pending,,
381033,01dc3ec0,P Botha,1,pending,,,pending,,
756907,01f65cd3,N Pratt,1,pending,,,pending,,
1265959,01f857ae,MJ Killeen,1,pending,,,pending,,
1311472,01fa12c1,Mohammed Jimia,1,pending,,,pending,,
53702,01fcf20f,LK Newton,1,pending,,,pending,,
